id,model,capacity,original_carrier,unlocked,battery,screen_condition,frame_condition,imei,serial,color,source,known_issues
906,iphone xr,128gb,att,false,86,good,good,9551494856162,53-976-2189,Maroon,Rebel Distributors Corp.,
907,iphone xr,128gb,sprint,false,93,good,good,6282804126755,51-086-3832,Mauv,"PD-Rx Pharmaceuticals, Inc.",
908,iphone 8,128gb,att,false,94,fair,fair,23724385529756,86-934-1192,Orange,"Shopko Stores Operating Co., LLC",
909,iphone xs,128gb,att,true,90,mint,mint,5182926642430,70-068-8362,Green,"Good Sense (Geiss, Destin & Dunn, Inc.)",
910,iphone 8,64gb,tmobile,true,89,good,mint,70642224792013,27-989-0473,Indigo,Wockhardt Limited,
911,iphone 8 plus,256gb,sprint,false,90,mint,good,9284493241847,45-943-9177,Orange,"Gemini Laboratories, LLC",bd25:e509:5989:c909:fc63:c601:f8a8:bf87
912,iphone 8,256gb,tmobile,true,100,mint,good,50958485193810,82-266-1232,Indigo,Qualitest Pharmaceuticals,
913,iphone 8,256gb,tmobile,true,94,mint,good,9393840885101,56-469-5667,Puce,CVS Pharmacy,
914,iphone xr,128gb,att,false,87,fair,mint,94330937088395,25-434-2773,Orange,Procter & Gamble Manufacturing Company,
915,iphone x,128gb,sprint,false,94,mint,good,27168907826085,13-435-6477,Crimson,"Hospira, Inc.",
916,iphone xs,256gb,tmobile,true,94,fair,fair,72808918512277,29-115-3645,Khaki,"Prime Packaging, Inc.",
917,iphone 8,256gb,att,false,90,fair,fair,63016890478282,33-038-6203,Teal,Uriel Pharmacy Inc.,
918,iphone xs,128gb,att,false,87,fair,good,16108229710339,08-146-8862,Orange,"Premier Value (Chain Drug Consortium, LLC)",
919,iphone xs,256gb,tmobile,true,95,good,mint,18710141611508,86-514-8930,Teal,"Preferred Pharmaceuticals, Inc",
920,iphone x,64gb,att,true,99,good,fair,91870893852250,47-682-1057,Crimson,McKesson Packaging Services a business unit of McKesson Corporation,
921,iphone xs,128gb,att,true,100,mint,mint,86081350990360,30-716-0227,Fuscia,Mylan Pharmaceuticals Inc.,
922,iphone 8 plus,64gb,sprint,true,91,good,fair,52882679862040,93-665-3255,Teal,REMEDYREPACK INC.,
923,iphone 8,64gb,sprint,false,88,mint,mint,60886775484274,35-181-1967,Green,Actavis Elizabeth LLC,
924,iphone 8 plus,256gb,verizon,false,92,good,mint,25424924659549,86-950-6663,Indigo,Lake Erie Medical Surgical & Supply DBA Quality Care Products LLC,
925,iphone x,128gb,verizon,false,99,good,mint,81683322330583,00-186-7068,Red,West-Ward Pharmaceutical Corp,6:99d9:633e:650c:92e0:c3d1:dade:3741
926,iphone xs,64gb,att,false,97,fair,good,91057979561254,17-910-9062,Puce,"Jets, Sets, & Elephants Beauty Corp.",
927,iphone x,128gb,verizon,false,85,good,fair,67618585106203,84-238-4616,Blue,"Kareway Product, Inc.",
928,iphone x,64gb,att,true,97,mint,fair,72807792474487,36-116-3030,Yellow,Safeway,
929,iphone 8 plus,128gb,verizon,false,96,mint,good,45531306576317,68-892-5513,Teal,"NCS HealthCare of KY, Inc dba Vangard Labs",
930,iphone 8,128gb,att,true,98,fair,fair,16633851596221,60-051-6122,Khaki,Cardinal Health,ecd4:6c9c:f7d4:cfe3:c5f6:572f:6f53:9309
931,iphone 8,64gb,tmobile,true,85,good,mint,37740745725357,01-397-5108,Red,Performance Health LLC,
932,iphone 8 plus,64gb,verizon,false,88,good,good,6429688755785,45-118-7420,Khaki,"JHP Pharmaceuticals, LLC",
933,iphone x,128gb,att,true,90,good,mint,12849245733141,16-545-2950,Goldenrod,A-S Medication Solutions LLC,
934,iphone xs,64gb,verizon,false,88,fair,mint,64615558071943,97-724-2996,Maroon,REMEDYREPACK INC.,
935,iphone 8 plus,256gb,sprint,true,85,good,fair,84902998237858,13-079-1020,Crimson,Parke-Davis Div of Pfizer Inc,
936,iphone 8 plus,256gb,att,false,89,mint,good,36411773658083,79-809-9621,Crimson,"Hospira, Inc.",
937,iphone xr,256gb,sprint,true,85,mint,fair,26260525615461,99-818-5009,Goldenrod,Apotheca Company,
938,iphone xr,128gb,verizon,false,96,good,mint,48535108808063,00-022-3280,Red,Rebel Distributors Corp,
939,iphone xr,64gb,tmobile,true,90,mint,mint,55092178475758,21-570-6422,Yellow,Cantrell Drug Company,
940,iphone xr,64gb,sprint,true,89,mint,mint,20012984603027,45-530-1481,Goldenrod,Wal-Mart Stores Inc,
941,iphone 8,256gb,tmobile,true,95,mint,mint,68573801117694,40-966-9936,Violet,"General Injectables & Vaccines, Inc",
942,iphone xs,128gb,att,false,91,fair,good,82766607161543,19-083-5794,Purple,Apotex Corp,
943,iphone 8 plus,64gb,sprint,false,99,mint,fair,91095646571490,37-465-8212,Purple,"Antigen Laboratories, Inc.",
944,iphone 8 plus,256gb,att,false,89,good,mint,20112396133080,54-593-8101,Orange,Target Corporation,68fa:c008:e2bf:fd67:6f7d:983a:a04c:2647
945,iphone xs,128gb,att,false,99,mint,fair,34827010881732,53-587-1625,Blue,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED",
946,iphone 8,256gb,att,false,98,fair,mint,80699811424520,41-387-1557,Turquoise,"S. C. Johnson & Son, Inc.",
947,iphone xr,128gb,tmobile,true,93,fair,good,24749456660621,83-123-3404,Green,"Physicians Total Care, Inc.",
948,iphone 8 plus,64gb,sprint,true,88,good,fair,51354779488279,41-852-6923,Indigo,"Physicians Total Care, Inc.",
949,iphone 8,128gb,verizon,false,93,fair,good,90508640862156,80-136-6507,Blue,H E B,
950,iphone xr,256gb,sprint,true,96,mint,fair,26483182930583,74-730-1402,Turquoise,Baxter Healthcare Corporation,
951,iphone xr,128gb,att,false,92,good,good,80630035333460,04-904-9781,Purple,American Health Packaging,
952,iphone 8,256gb,sprint,false,87,mint,good,50417035998411,48-309-4637,Blue,"Aaron Industries, Inc.",
953,iphone 8,64gb,sprint,true,98,mint,mint,82564899647215,10-966-6955,Turquoise,Cardinal Health,
954,iphone 8 plus,128gb,tmobile,false,97,good,good,67307431163848,85-812-9388,Purple,Mission Pharmacal Company,fcbd:7817:60c9:87d1:67b8:7194:2a2c:f957
955,iphone 8,128gb,sprint,false,86,fair,mint,65405641213565,82-352-1406,Orange,DZA Brands LLC,
956,iphone xs,256gb,sprint,false,89,good,fair,10668901070918,13-013-5342,Crimson,"Dispensing Solutions, Inc.",
957,iphone x,64gb,tmobile,false,88,fair,fair,91277037201852,04-561-9926,Fuscia,"Shanghai Kejing Cleaning Products Co., Ltd.",
958,iphone x,128gb,att,false,89,mint,fair,34137008214019,79-815-4580,Indigo,Fera Pharmaceuticals,
959,iphone xs,256gb,att,true,92,good,good,12722728325866,76-945-4169,Turquoise,A-S Medication Solutions LLC,
960,iphone 8 plus,256gb,tmobile,false,92,mint,good,72888478352845,43-477-8811,Blue,Neutrogena Corporation,5c2:1221:8c0a:11b9:d41e:8aa7:10f3:f216
961,iphone 8 plus,256gb,sprint,true,87,fair,fair,96898759128081,15-883-5316,Green,"Blenheim Pharmacal, Inc.",
962,iphone xs,256gb,verizon,false,94,mint,mint,35432925382197,14-691-0799,Red,Sandoz Inc,
963,iphone x,128gb,verizon,false,92,fair,mint,33978973246765,55-837-1063,Orange,"Nature's Way Products, Inc.",50c:6693:5deb:2ce8:bd54:e3ae:3ee3:c893
964,iphone x,128gb,sprint,false,93,mint,mint,12558720345084,57-825-9428,Yellow,"Physicians Total Care, Inc.",
965,iphone 8 plus,128gb,att,true,85,mint,fair,4971703754150,53-906-5182,Teal,Chain Drug Marketing Association,9a6c:579e:ccf:a415:4499:5f34:f214:501a
966,iphone xr,64gb,tmobile,true,94,mint,fair,78340178970909,95-524-5708,Puce,CVS Pharmacy,
967,iphone 8 plus,128gb,verizon,false,99,fair,fair,68845334180806,60-280-2681,Orange,Direct Rx,
968,iphone x,128gb,verizon,true,98,fair,mint,64048871915696,10-840-9997,Khaki,Beiersdorf Inc,
969,iphone 8 plus,256gb,verizon,false,98,mint,good,15524417538262,30-264-8194,Goldenrod,Kimball Midwest,
970,iphone xr,64gb,tmobile,false,97,fair,mint,21448196311846,35-888-9241,Blue,American Health Packaging,
971,iphone xr,256gb,att,false,93,good,mint,70014093537527,33-601-0585,Fuscia,Camber Pharmaceuticals,
972,iphone xs,64gb,tmobile,false,99,good,good,16040796479866,32-434-6887,Khaki,Colgate-Palmolive Company,
973,iphone xr,64gb,sprint,false,93,good,good,80777878746553,60-854-0494,Red,"Mallinckrodt, Inc",
974,iphone 8,256gb,verizon,false,89,good,fair,67817625543312,62-820-6971,Fuscia,"GREAT LAKES WHOLESALE, MARKETING, & SALES, INC.",
975,iphone 8 plus,256gb,tmobile,true,88,mint,mint,50502177198782,62-825-7671,Aquamarine,King Bio Inc.,
976,iphone 8,64gb,att,true,95,good,mint,82057449643993,26-471-7319,Mauv,"Preferred Pharmaceuticals, Inc.",6697:563f:711f:b2eb:5399:911b:a391:f117
977,iphone xr,128gb,verizon,true,99,mint,mint,65111379278056,64-601-6319,Fuscia,REMEDYREPACK INC.,
978,iphone x,128gb,att,false,95,fair,good,61538576420262,20-306-2569,Violet,"Upsher-Smith Laboratories, Inc.",
979,iphone 8 plus,256gb,tmobile,true,88,fair,mint,53536460356454,71-148-5094,Green,"Preferred Pharmaceuticals, Inc.",
980,iphone 8 plus,128gb,att,true,92,fair,mint,98039053152264,96-768-3707,Violet,"Med-Health Pharma, LLC",89fc:af90:9418:af1e:4c26:ba9e:cd63:54a3
981,iphone 8,64gb,att,true,85,mint,mint,85005491420337,15-128-1651,Teal,"Fenwal, Inc.",
982,iphone 8 plus,64gb,sprint,false,100,fair,fair,95734212203544,05-031-3714,Purple,"Antigen Laboratories, Inc.",
983,iphone 8 plus,128gb,sprint,true,95,mint,good,62626924286433,51-379-1050,Yellow,"AvKARE, Inc.",
984,iphone 8,256gb,sprint,false,93,mint,mint,34390057540364,20-118-3077,Teal,Cardinal Health,
985,iphone xr,256gb,sprint,false,94,mint,fair,51990707549432,78-780-2341,Blue,"Merz Pharmaceuticals, LLC",65f3:635e:221d:c7bd:d446:3702:8f86:5c8
986,iphone xs,128gb,sprint,false,89,mint,mint,36502873362994,48-255-2132,Yellow,Wal-Mart Stores Inc,
987,iphone 8 plus,64gb,verizon,false,90,fair,mint,80841758327359,75-301-2417,Pink,"Ningbo Dowland Daily Health Co., Ltd",ecc1:d527:2cb:b61e:7304:b1a:d1a1:3cf5
988,iphone xr,64gb,sprint,true,99,fair,good,24479889946012,74-781-7251,Violet,Bryomed Inc.,
989,iphone 8,256gb,sprint,true,86,fair,fair,78549534494877,00-636-7260,Fuscia,"ALK-Abello, Inc.",
990,iphone xs,256gb,att,true,85,fair,good,34414005513952,48-698-0596,Orange,Cardinal Health,
991,iphone xs,256gb,tmobile,true,90,fair,good,69554643974060,06-249-5240,Blue,LUPIN LIMITED,
992,iphone 8 plus,256gb,sprint,true,98,good,mint,40579018665457,09-080-3668,Orange,WHITE MANUFACTURING INC. DBA MICRO WEST,
993,iphone 8,256gb,verizon,false,94,good,good,85914894775276,64-482-6613,Goldenrod,McKesson Contract Packaging,
994,iphone x,64gb,att,true,97,mint,fair,31145580546474,70-178-1616,Turquoise,Uriel Pharmacy Inc.,
995,iphone x,128gb,tmobile,true,85,mint,good,50388727837355,21-054-1106,Blue,Pacific Naturals,34fe:acab:b828:f845:543f:2b27:c8c2:a112
996,iphone xr,256gb,att,true,88,mint,mint,56831898153802,57-179-7071,Red,Jubilant HollisterStier LLC,
997,iphone x,256gb,tmobile,false,93,fair,mint,18997763289478,65-816-4049,Orange,JHP Pharmaceuticals LLC,f94a:c280:c088:b814:b27e:ae0c:ea37:4c42
998,iphone xs,64gb,sprint,false,95,good,fair,52720402885540,59-741-7651,Blue,"Allermed Laboratories, Inc.",
999,iphone x,128gb,tmobile,true,86,good,mint,16085825810617,47-187-5828,Maroon,Cardinal Health,
1000,iphone xr,128gb,verizon,false,97,fair,good,73793555582526,96-845-7558,Indigo,"DOLGENCORP, LLC",
